,Nasabah ID,Prediksi Kemampuan Bayar,Nilai Resiko Nasabah,Nilai Resiko Nasabah (dari skala 100),Jenis Kontrak,Bagian angsuran dari total pendapatan,Usia,Durasi kredit tersisa (Hari),Jumlah hari keterlambatan cicilan,Maksimum hari keterlambatan cicilan,Gelar pendidikan tinggi,Variasi persentase pembayaran cicilan dari total pendapatan,Jenis Kelamin,Kota kerja berbeda dengan kota tempat tinggal,Jumlah Pendapatan Bulanan,Uang_Masuk_Payment_Gateway_3bulan,Uang_Keluar_Payment_Gateway_3bulan,Mayoritas_Produk_Dibeli_online,Tingkat_Variasi_Produk_Belanja,Nilai_Belanja_Online_3bulan,Biaya_Pulsa_3bulan,Biaya_Internet_dan_aplikasi_berbayar_3bulan,Frekuensi_Instagram_harian,Frekuensi_Tiktok_harian,Frekuensi_XCom_harian,Google_Timeline_3bulan,Followers_Subscribers_Viewers,Likes_Comments
0,100001,Tidak Resiko Gagal Bayar,0.416784159,41.7,Pinjaman Kas,0.1523,53,82.42857143,11,11,Yes,0,Wanita,Non,"8,000,000","2,000,000","850,000",Makanan dan Minuman,10.00%,"750,000","300,000","1,200,000",2,0,2,resto KFC - Mall Grand Indonesia - BSD  Mall Karawaci,Followers:347   Subscribers :50  Viewers:1000,Likes:1200  Comment: 154 - Sering likes dan comment di IG bertema kuliner
1,100005,Resiko Gagal Bayar,0.74431613,74.4,Pinjaman Kas,0.675454545,49,439.3333333,1,1,Non,0.6,Pria,Yes,"3,500,000","500,000","1,300,000",Transportasi Online,20.00%,"1,500,000","170,000","500,000",0,1,1,bengkel - puskesmas- pasar modern,Followers:0   Subscribers :40  Viewers:70,Likes: 0 Comment:0
2,100013,Tidak Resiko Gagal Bayar,0.099500559,10,Pinjaman Kas,0.344577778,55,-1068,84,21,Yes,0.058240814,Pria,Non,"5,000,000","1,200,000","450,000",Kebutuhan Rumah tangga,15.00%,"500,000","210,000","800,000",1,3,0,XXI Bioskop -  PIK 2,Followers:298   Subscribers : 0  Viewers: 500,Likes:378  Comment:100 - Sering likes dan comment di Tiktok bertema film
3,100028,Tidak Resiko Gagal Bayar,0.154144433,15.4,Pinjaman Kas,0.155614286,38,2387.7,30,7,Non,0.045392684,Wanita,Non,"10,000,000","900,000","300,000",Kebutuhan Rumah tangga,15.00%,"2,000,000","600,000","1,000,000",4,0,2,Apartemen - Indomaret - Tebet Square,Followers:100   Subscribers: 1000  Viewers:5000,Likes:358  Comment:0 - Sering likes postingan teman medsos
4,100038,Resiko Gagal Bayar,0.827094966,82.7,Pinjaman Kas,0.57815,36,-107,0,0,Yes,0.25,Pria,Yes,"6,000,000","7,000,000","15,000,000",Pinjaman Online & Makanan dan Minuman,60.00%,"800,000","1,200,000","600,000",1,1,1,Bali - Labuan Bajo - Kampus UGM,Followers:320   Subscribers :125  Viewers:300,Likes:447  Comment:30 -  Sering likes dan comment di IG bertema tempat wisata
5,100042,Tidak Resiko Gagal Bayar,0.306251188,30.6,Pinjaman Kas,0.12815,51,620.3571429,35,17,Non,0.013717237,Wanita,Non,"13,000,000","1,300,000","680,000",Kebutuhan Rumah tangga,50.00%,"400,000","450,000","400,000",2,2,2,tempat jahit kebayoran - Plaza Senayan - Snapy,Followers:738   Subscribers :128  Viewers:1200,Likes:400  Comment:200 - Sering likes dan comment di X bertema politik
6,100057,Tidak Resiko Gagal Bayar,0.155888305,15.6,Pinjaman Kas,0.122875,46,99.42857143,0,0,Yes,0,Pria,Yes,"9,000,000","400,000","100,000",Makanan dan Minuman,10.00%,"1,300,000","260,000","600,000",0,2,2.5,Pondok Indah Mall - Pakubuwono,Followers:10  Subscribers :0  Viewers:0,Likes:40  Comment:20 - Sering likes dan comment di X bertema Games
7,100065,Tidak Resiko Gagal Bayar,0.230805353,23.1,Pinjaman Kas,0.085405405,26,1749.153846,0,0,Yes,0,Pria,Yes,"17,000,000","3,000,000","2,700,000",Pulsa & Transportasi Online,45.00%,"3,500,000","1,500,000","1,000,000",0,0,0,Medan - Bandung - Solo,Followers: 80  Subscribers: 100  Viewers:0,Likes:38  Comment:0 - Sering likes di Tiktok bertema gadget
8,100066,Tidak Resiko Gagal Bayar,0.071171575,7.1,Pinjaman Kas,0.091928571,35,1129.333333,0,0,Yes,0,Wanita,Yes,"14,000,000","1,400,000","630,000",Transportasi Online,35.00%,"600,000","700,000","1,000,000",1,1,1,PLN - DPR - Stasiun Tanah Abang,Followers: 0  Subscribers :0  Viewers:0,Likes:0  Comment:0 
9,100067,Tidak Resiko Gagal Bayar,0.472450798,47.2,Pinjaman Kas,0.032944444,28,2872.857143,20,11,Yes,0,Wanita,Non,"7,500,000","900,000","150,000",Makanan dan Minuman,10.00%,"400,000","300,000","600,000",1.5,1.5,1.5,Celfit gym - Masjid AL Azhar ,Followers: 0  Subscribers :0 Viewers:0,Likes:0  Comment:0 
10,100074,Tidak Resiko Gagal Bayar,0.252840263,25.3,Pinjaman Kas,0.377,65,-1022.333333,5,2,Yes,0,Wanita,Non,"11,000,000",0,0,0,0.00%,"1,000,000","250,000","700,000",0.5,0.5,1,Gramedia Matraman - AEON Mall Cakung - Warung Upnormal,Followers:350   Subscribers : 1250 Viewers:100000,Likes:378  Comment:100 - Sering likes dan comment di Tiktok bertema isu nasional
11,100090,Tidak Resiko Gagal Bayar,0.313492174,31.3,Pinjaman Kas,0.1248,43,103.5,0,0,Yes,2.098153968,Wanita,Yes,"15,000,000","1,000,000","700,000",Kebutuhan Rumah tangga,25.00%,"2,000,000","500,000","700,000",1,1,0,0,Followers:43   Subscribers : 650 Viewers:100,Likes:378  Comment:100 - Sering likes dan comment di X bertema komik
12,100091,Resiko Gagal Bayar,0.650097209,65,Pinjaman Kas,0.095109091,34,465.6666667,0,0,Yes,0,Wanita,Non,"8,000,000","1,000,000","450,000",Kebutuhan Rumah tangga,20.00%,"4,000,000","1,000,000","1,000,000",0.5,1,0,Duri Tangerang - Penang Malaysia,Followers:55   Subscribers : 85 Viewers:0,Likes:0  Comment:0 
13,100092,Resiko Gagal Bayar,0.76736367,76.7,Pinjaman Kas,0.20595,54,-205.4615385,81,46,Non,0.039371933,Wanita,Yes,"5,500,000","2,000,000","11,000,000",Elektronik dan Pulsa,50.00%,"2,500,000","400,000","1,000,000",0,0,0,Cibubur - Bogor Kota,Followers:255   Subscribers :0 Viewers:51,Likes: 0 Comment:0
